,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
4561,pub.1184344359,Chitosan-zinc oxide thyme oil-based edible antimicrobial hydrogel coatings: application on pork and tofu sausages,"Abstract Chitosan (CS), zinc oxide (ZnO), and essential oils have been widely researched for their potential in food packaging and preservation due to their ability to extend shelf-life. This study examined the effects of CS-poly-vinyl alcohol-based (CS/PVOH) hydrogel coatings on the microbiological quality and shelf-life of pork and tofu sausages. The hydrogel coatings included ZnO grown on montmorillonite (MT) (ZnO@NaMt) and thyme oil adsorbed in organically modified MT (TO@OrgMt) nanohybrids dispersed in a CS/PVOH-based composite. The sausages were analysed for mesophilic, psychrotrophic, and lactic acid bacteria (LAB). Statistical tests were employed to assess the differences between groups. Pork sausages’ shelf-life was extended to 10 and 20 days for CS/PVOH/ZnO@NaMt, CS/PVOH/TO@OrgMt, and for pure CS, CS/PVOH coated samples, respectively. The bacteriostatic effect of CS/PVOH/ZnO@NaMt, CS/PVOH/TO@OrgMt, and CS/PVOH hydrogel coatings was observed after the 20th day. Mesophilic and psychrotrophic bacteria counts decreased, and tofu sausages’ shelf-life was also prolonged, indicating the coatings’ ability to extend shelf-life.",PB,Ingredient optimisation,False,True,False,True
3861,pub.1188046839,Data on Swiss consumers’ support for different policies aiming to increase sustainability in food consumption and assessment of actor responsibility,"We present survey data from 453 Swiss consumers. Data were collected in the German-speaking parts of Switzerland in February 2023 using an online panel provider. The survey included seven distinctive parts. In a first part, personal data including political orientation and consumption behaviour were collected. In a second part, participants assessed the current consumption in Switzerland regarding sustainability. Participants' food sustainability knowledge was assessed in part three of the survey. In part four, participants rated a total of 19 policy measures for sustainable consumption for their acceptance. Part five dealt with actor responsibility. It included four questions to assess participants' health consciousness. In part six, we measured participants' environmental attitudes. In part seven, participants answered questions on who they think was responsible to take action to increase sustainability in consumption and how much trust they had in these actors to do this successfully. The research design was approved by the Ethics Committee of ETH Zurich (approval number: EK 2023-N-04).",PB,Consumer & market research,False,True,True,False
3895,pub.1191677996,An in vitro study exploring the role of mucin in the protein-flavor binding mechanism,"In the mouth, food flavors interact with salivary proteins like mucin, which protects mucosal surfaces and influences the rate of aroma release. The role of mucin in the protein-flavor binding mechanism was evaluated in a model system in vitro using GC-MS. The number of binding sites (n) and binding constants (K) of commercial food protein isolates (PIs) and carbonyl compounds were calculated using Klotz plots. Results suggested a linear relationship between PIs and carbonyl compounds, where K increased with the flavor chain length, and n ranged from n = 0.021 to 7.194. Mucin addition to flavor-protein systems increased flavor binding up to fifteen times. At 0.01(w/v)% mucin, structural changes enhanced flavor binding. At higher mucin levels, further unfolding leads to aggregation, restricting access of the flavor molecules to the binding sites. These results confirmed the role of flavor structural characteristics and mucin on flavor binding, essential for optimal food design.",PB,Ingredient optimisation,False,True,True,False
407,pub.1187434961,Lupin poisoning: a review,"Introduction: Lupin beans are the seeds of plants from the Fabaceae family. These beans are rich in protein and used for human consumption for several millennia. Their popularity is still increasing. Some species produce beans with high alkaloid contents, specifically of spartaine and lupanine. Without proper processing, consuming these beans can result in lupin poisoning that causes anticholinergic syndrome. We systematically analyzed all case reports describing lupin poisoning in humans in order to define most observed clinical findings, treatment options and outcome.
Methods: We screened Pubmed and Google scholar for human case reports on lupin poisoning. Obtained full-text papers in any language were screened for eligibility. Demographics, time-to-symptoms, treatment and outcome were analyzed. Symptoms were categorized using the ICD11 classification.
Results: Twenty-seven case reports describing 33 patients were obtained. Poisoning occurred in all age groups and sexes equally. Most frequent symptoms were bilateral mydriasis (n = 25), xerostomia (n = 25), blurred vision (n = 17), lightheadedness (n = 14), weakness (n = 11). Onset of symptoms was typically within 60 min. In most cases no treatment was required, and symptoms resolved within 24 h after which patients were discharged. Two of four children in the cohort required ICU admission and one died.
Discussion: Lupin poisoning is rare and requires most often a conservative clinical approach. However, in children the effects are more severe than in adults. Frequency of lupin poisoning may rise due to increased popularity of the beans as an alternative protein source.",PB,Food safety & quality,False,True,True,True
4303,pub.1195363103,"Pedoclimatic, knowledge and management factors drive European soybean and faba bean yields","The low usage of grain legumes in European cropping systems is often attributed to yield gaps due to limiting pedoclimatic conditions, sub-optimal management practices, and farmers’ limited experience and knowledge in growing these crops. The relative contributions of these factors to current grain legume yield gaps at European scale and, in particular, the difference between yields achieved by experienced farmers and those achieved by novices remain unknown. We therefore explored the relationship between yields and these different factors, to identify areas where farmers require more support to close the yield gaps in grain legume production. To this purpose, we conducted a large-scale online farmer survey in nine European countries with a focus on soybean and faba bean. For both crops, classification and regression tree analysis identified country of production as the primary explanatory variable of yield variation and confirmed the hypothesis that greater experience and knowledge is associated with higher yields. However, the effect of several factors differed between the crops, showing the need for legume-specific strategies. Experience and knowledge were particularly important for soybean, although also relevant for faba bean in low-yielding environments. Other important factors identified to determine yield for soybean included farm specialization, agroclimatic zone, the number of years growing grain legumes and the size of farmland, while for faba bean these important factors were pest management and perceived soil fertility. Farmers highlighted drought, weed infestation, and soil characteristics as having critical impacts on yields for both crops, as well as inoculation and irrigation for soybean. Both soybean and faba bean growers emphasized the need for more information on plant protection and cultivar selection. The results indicate the potential to increase legume yields by supporting farmers in the first years of growing grain legumes, especially for crops that have a shorter history in Europe such as soybean.",PB,Crop development ,False,True,False,False
2348,pub.1191479105,UV Spectrophotometric analysis of phosphate content in plant-based milk alternatives in relation to Advanced Chronic Kidney Disease,"OBJECTIVE: Managing dietary phosphorus is critical in advanced chronic kidney disease (CKD), where excess intake can lead to complications such as hyperphosphataemia. Plant-based milk alternatives (PBMAs) are increasingly consumed, yet their phosphorus content, particularly in relation to phosphate additives, remains poorly defined in the United Kingdom. This study aimed to quantify and compare the total phosphorus content and phosphorus-to-protein ratio (PPR) in a range of commercially available UK PBMAs, with and without phosphate additives, using ultra-violet (UV) spectrophotometric analysis.
DESIGN AND METHODS: Fourteen PBMAs (from seven plant sources) were analyzed using the molybdenum blue method. Samples were categorized based on presence or absence of phosphate additives. Phosphorus content (mg/100g) and PPR (mg/g protein) were calculated and compared with previously documented data for cow's milk.
RESULTS: PBMAs with phosphate additives contained significantly higher phosphorus levels (mean 58.47 mg/100g) than those without (mean 7.38 mg/100g; P < .001). Similarly, PPR was substantially higher in additive-containing PBMAs (mean 197.76 mg/g) versus additive-free options (mean 16.25 mg/g; P < .001). Some PBMAs with additives had phosphorus content and PPR values exceeding those of cow's milk, raising concerns for phosphate management in CKD.
CONCLUSION: Phosphate additives significantly increase the phosphorus load and PPR of PBMAs, which may not be readily apparent to consumers or clinicians due to insufficient labeling. For patients with advanced CKD, selecting additive-free PBMAs may support better phosphorus control and dietary management.",PB,Food safety & quality,False,True,False,False
2391,pub.1186893306,The mediating roles of anthropo-metabolic biomarkers on the association between beverage consumption and breast cancer risk,"BackgroundBreast cancer (BC) is the most common malignancy in women, yet the role of beverage consumption in BC risk remains unclear. Additionally, the contribution of anthropo-metabolic biomarkers as mediators is unknown, limiting the development of effective prevention strategies.MethodsThis study included 13,567 participants from the Guangzhou Biobank Cohort Study (GBCS), where beverage consumption was assessed at baseline using a food frequency questionnaire. BC cases were identified through cancer registry linkage over a mean follow-up of 14.8 years. Mendelian randomization (MR) analyses were performed to evaluate the causal effects of beverage consumption on BC risk, with a two-step MR approach used to estimate mediation effects.ResultsDuring follow-up, 243 BC cases were identified. Weekly consumption of ≥ 1 portion of sugar sweetened beverages (SSB), versus < 1 portion, was significantly associated with a higher risk of BC (hazard ratio [HR] 1.58, 95% confidence interval [CI] 1.12–2.23). This association was partly mediated by body mass index (proportion mediated [PM] 4.2%, 95% CI 0.9–17.1%) and uric acid (PM 18.8%, 95% CI 1.5–77.5%). Weekly consumption of > 6 portions of dairy-based milk was associated with a non-significantly higher BC risk (HR 1.41, 95% CI 0.99–2.03), while 3–6 portions of soy milk were associated with a lower BC risk (HR 0.31, 95% CI 0.10–0.98). No significant associations were found for pure fruit juice, coffee, tea, or alcoholic drinks. MR analyses supported the detrimental effect of SSB on BC risk, with high-density lipoprotein cholesterol, polyunsaturated fatty acids to total fatty acids (TFAs) ratio, and omega-6 fatty acids to TFAs ratio mediating 2.44%, 2.73%, and 3.53% of the association, respectively.ConclusionThis study suggested that SSB consumption was a risk factor for BC and identified key anthropo-metabolic biomarkers mediating this relationship. Reducing SSB consumption and addressing associated metabolic pathways may offer effective strategies for BC prevention.",PB,Health & nutrition,False,True,False,True
4392,pub.1188758376,"Identification, in silico evaluation and in vitro assays of allergens from Sinapis arvensis (charlock mustard) and Brassica napus (rapeseed)","Currently, the allergenic proteins of some mustards, such as charlock mustard (Sinapis arvensis) and rapeseed (Brassica napus), have not been fully characterised at the protein level. The most widely used mustard varieties in food industry are white mustard (Sinapis alba) and Indian (Brassica juncea) mustard. Sinapis arvensis is a highly invasive weed that is not intentionally cultivated or used as a food ingredient. It can cause accidental contamination of harvested grain. Brassica napus, which is used in food and feed, has recently been approved as a Novel food (EU Regulation 2015/2283). The aim of this work was to identify the allergenic proteins of Sinapis arvensis and Brassica napus by in-gel tryptic digestion coupled with high-resolution mass spectrometry, and to compare them with the known allergens of Sinapis alba (Sin a 1 and Sin a 2) and Brassica juncea (Bra j 1). Allergenicity was assessed by in silico analysis and in vitro immunoblotting experiments using sera from individuals allergic to mustard and rapeseed. The major proteins identified were 11S globulins and 2S albumins. In addition, in silico analysis showed more than 80 % of sequence identity between the different mustard species, allowing for the comparison of known and previously uncharacterised allergenic proteins. These results were confirmed by in vitro immunoblotting tests. These findings highlighted the importance of a multiple approach strategy combining in silico, in vitro, and clinical data to assess the allergenic potential of alternative and novel proteins.",PB,Food safety & quality,False,True,False,True
1263,pub.1193462342,"Effect of watermelon pomace on physicochemical, textural, and antioxidant properties of vegan jellies","Considerable attention has recently been paid to the consumer demand for healthy, fortified, and vegan products. Moreover, there has been increasing interest in the reuse of food processing by-products in order to reduce the environmental impact and simultaneously valorize waste through its conversion into value-added products. In the present study, the appropriate degree of grinding the pomace from yellow watermelon cv. Janosik was based primarily selected based on the water-binding capacity (WBC) and cation exchange capacity, as these parameters are indicative of the pomace’s functionality in food applications. Next, the basic chemical composition of powdered pomace, i.e. the content of fiber, fat, protein, vitamin C, total phenolic compounds, flavonoids, and anthocyanins and antioxidant activity, were determined. The next stage of the study consisted in preparation of jelly candies supplemented with different concentrations of powdered pomace (20, 35, and 50%), citric acid (0.75 and 1%), and agar (0.5 and 1%) and assessment of their physicochemical and textural properties. The pomace was obtained from whole yellow watermelon fruits (cv. “Janosik”) that were pressed without prior peeling, meaning the material included both the edible flesh and parts of the rind. The results showed that the increase in the concentration of the powdered additive was accompanied by a decrease in the moisture content and water activity of the jellies and an increase in their pH value. Additionally, the jellies became lighter and more yellowish, as indicated by increasing values of the L* and b* parameters. In turn, textural analysis showed a significant (p < 0.05) increase in hardness, gumminess, and chewiness of the jellies with increasing concentrations of powdered pomace, citric acid, and agar. For example, hardness increased from 1598 N in the lowest supplementation (sample JC1) to 6984 N in the highest (sample JC12), gumminess from 904 to 2697 g, and chewiness from 41.7 to 122.6 N mm.",PB,End product formulation,False,True,True,True
3020,pub.1192495867,Democratization of Tomorrow's Plate: Synergizing Foresight Methods and Design Thinking in Designing Cellular Agriculture Innovations,"ABSTRACT  This paper presents a sustainable design framework for cellular agriculture innovations by integrating foresight methods and design thinking. Importantly, the research connected design thinking, foresight methods and sustainable innovations. The framework systematically aligns foresight methods with the design thinking process, thus enabling cellular agriculture innovators to anticipate long‐term challenges and navigate uncertainties. The strengths and limitations of either design thinking or foresight are explored thus rationalizing the need to integrate them. A key research question of the study is: How can foresight methods be systematically integrated with design thinking to enhance the sustainability of Cellular Agriculture innovations? A user‐friendly framework is developed by matching foresight methods capabilities and aims of design thinking stages. The paper discusses theoretical and practical implications of the framework while pointing direction of further research in shaping sustainable food systems.",CC,Other,False,True,True,True
