,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
4561,pub.1184344359,Chitosan-zinc oxide thyme oil-based edible antimicrobial hydrogel coatings: application on pork and tofu sausages,"Abstract Chitosan (CS), zinc oxide (ZnO), and essential oils have been widely researched for their potential in food packaging and preservation due to their ability to extend shelf-life. This study examined the effects of CS-poly-vinyl alcohol-based (CS/PVOH) hydrogel coatings on the microbiological quality and shelf-life of pork and tofu sausages. The hydrogel coatings included ZnO grown on montmorillonite (MT) (ZnO@NaMt) and thyme oil adsorbed in organically modified MT (TO@OrgMt) nanohybrids dispersed in a CS/PVOH-based composite. The sausages were analysed for mesophilic, psychrotrophic, and lactic acid bacteria (LAB). Statistical tests were employed to assess the differences between groups. Pork sausages’ shelf-life was extended to 10 and 20 days for CS/PVOH/ZnO@NaMt, CS/PVOH/TO@OrgMt, and for pure CS, CS/PVOH coated samples, respectively. The bacteriostatic effect of CS/PVOH/ZnO@NaMt, CS/PVOH/TO@OrgMt, and CS/PVOH hydrogel coatings was observed after the 20th day. Mesophilic and psychrotrophic bacteria counts decreased, and tofu sausages’ shelf-life was also prolonged, indicating the coatings’ ability to extend shelf-life.",PB,Ingredient optimisation,False,True,True,True
1095,pub.1191049304,Plant-based protein supplements as emerging sources of metal exposure: A risk assessment study,"The growing demand for plant-based diets has prompted the food industry to develop nutritional supplements, particularly plant-based protein supplements (PS), designed to meet the needs of vegans and vegetarians. While these supplements offer essential nutrients, they may also contain potentially toxic elements (PTEs) that pose health risks. This study assessed the metal content of 56 plant-based PS samples from European sources using Inductively Coupled Plasma Optical Emission Spectrometry (ICP-OES). Dietary exposure to these elements was evaluated across three consumption scenarios, considering established reference intake values (AI/TDI/TWI/UL) and the Margin of Exposure (MOE) for lead (Pb). The analysis identified plant-based PS as significant sources of essential elements, including sodium (9101.66 mg/kg), potassium (5784.91 mg/kg), calcium (2201.45 mg/kg), molybdenum (1.63 mg/kg), manganese (25.14 mg/kg), copper (11.59 mg/kg), iron (132.58 mg/kg), zinc (62.56 mg/kg), chromium (0.45 mg/kg), and cobalt (0.11 mg/kg). However, these products also contained PTEs such as lead (0.07 mg/kg), cadmium (0.09 mg/kg), aluminum (18.39 mg/kg), nickel (1.19 mg/kg), strontium (5.67 mg/kg), barium (1.86 mg/kg), boron (4.59 mg/kg), and vanadium (0.05 mg/kg). At the recommended consumption level of 30 g/day, exposure to both essential and PTEs did not exceed reference intake limits. However, this dose accounted for 75 % of the Adequate Intake (AI) for molybdenum. Excessive consumption (100 g/day) raised concerns about exceeding the AI for copper (105.40 %) and magnesium (105.90 %) in women, as well as molybdenum (250.16 %) and iron (120.53 %) for men and postmenopausal women. These findings underscore the dual role of plant-based PS as valuable sources of essential nutrients and potential vectors for PTEs.",PB,Food safety & quality,False,True,True,True
3861,pub.1188046839,Data on Swiss consumers’ support for different policies aiming to increase sustainability in food consumption and assessment of actor responsibility,"We present survey data from 453 Swiss consumers. Data were collected in the German-speaking parts of Switzerland in February 2023 using an online panel provider. The survey included seven distinctive parts. In a first part, personal data including political orientation and consumption behaviour were collected. In a second part, participants assessed the current consumption in Switzerland regarding sustainability. Participants' food sustainability knowledge was assessed in part three of the survey. In part four, participants rated a total of 19 policy measures for sustainable consumption for their acceptance. Part five dealt with actor responsibility. It included four questions to assess participants' health consciousness. In part six, we measured participants' environmental attitudes. In part seven, participants answered questions on who they think was responsible to take action to increase sustainability in consumption and how much trust they had in these actors to do this successfully. The research design was approved by the Ethics Committee of ETH Zurich (approval number: EK 2023-N-04).",PB,Consumer & market research,False,True,True,True
407,pub.1187434961,Lupin poisoning: a review,"Introduction: Lupin beans are the seeds of plants from the Fabaceae family. These beans are rich in protein and used for human consumption for several millennia. Their popularity is still increasing. Some species produce beans with high alkaloid contents, specifically of spartaine and lupanine. Without proper processing, consuming these beans can result in lupin poisoning that causes anticholinergic syndrome. We systematically analyzed all case reports describing lupin poisoning in humans in order to define most observed clinical findings, treatment options and outcome.
Methods: We screened Pubmed and Google scholar for human case reports on lupin poisoning. Obtained full-text papers in any language were screened for eligibility. Demographics, time-to-symptoms, treatment and outcome were analyzed. Symptoms were categorized using the ICD11 classification.
Results: Twenty-seven case reports describing 33 patients were obtained. Poisoning occurred in all age groups and sexes equally. Most frequent symptoms were bilateral mydriasis (n = 25), xerostomia (n = 25), blurred vision (n = 17), lightheadedness (n = 14), weakness (n = 11). Onset of symptoms was typically within 60 min. In most cases no treatment was required, and symptoms resolved within 24 h after which patients were discharged. Two of four children in the cohort required ICU admission and one died.
Discussion: Lupin poisoning is rare and requires most often a conservative clinical approach. However, in children the effects are more severe than in adults. Frequency of lupin poisoning may rise due to increased popularity of the beans as an alternative protein source.",PB,Food safety & quality,False,True,True,True
344,pub.1192635025,Characterization of Bitter Off-Taste Stimuli in Sunflower Press Cake Using the Sensomics Approach,"The Sensomics approach, including activity-guided fractionation and taste dilution analysis, was employed to identify the key compounds responsible for the bitter off-taste of sunflower press cake. A combination of liquid chromatography-tandem mass spectrometry, liquid chromatography-time-of-flight-mass spectrometry, one-/two-dimensional nuclear magnetic resonance spectroscopy, and dose-overthreshold factor calculation led to the identification of 9,12,13-trihydroxyoctadec-10-enoic acid, 9,10,11-trihydroxyoctadec-12-enoic acid, 11,12,13-trihydroxyoctadec-9-enoic acid, (10E,12E)-9-hydroxyoctadeca-10,12-dienoic acid, (10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid, (9E,11E)-13-hydroxyoctadeca-9,11-dienoic acid, (9Z,11E)-13-hydroxyoctadeca-9,11-dienoic acid, (9Z,11E)-13-oxooctadeca-9,11-dienoic acid, α-linolenic acid, linoleic acid, oleic acid, 2-hydroxyoleic acid, palmitic acid, stearic acid, and novel pinocarveol β-d-apiofuranosyl-(1→6)-β-d-(4-O-caffeoyl) glucopyranoside as contributors to the bitterness of sunflower press cake. The findings provide valuable insights into the sensory challenges associated with using sunflower press cake in food applications and offer pathways to enhance its palatability and potential as a sustainable protein alternative to meet future protein demands.",PB,Ingredient optimisation,False,True,True,True
2391,pub.1186893306,The mediating roles of anthropo-metabolic biomarkers on the association between beverage consumption and breast cancer risk,"BackgroundBreast cancer (BC) is the most common malignancy in women, yet the role of beverage consumption in BC risk remains unclear. Additionally, the contribution of anthropo-metabolic biomarkers as mediators is unknown, limiting the development of effective prevention strategies.MethodsThis study included 13,567 participants from the Guangzhou Biobank Cohort Study (GBCS), where beverage consumption was assessed at baseline using a food frequency questionnaire. BC cases were identified through cancer registry linkage over a mean follow-up of 14.8 years. Mendelian randomization (MR) analyses were performed to evaluate the causal effects of beverage consumption on BC risk, with a two-step MR approach used to estimate mediation effects.ResultsDuring follow-up, 243 BC cases were identified. Weekly consumption of ≥ 1 portion of sugar sweetened beverages (SSB), versus < 1 portion, was significantly associated with a higher risk of BC (hazard ratio [HR] 1.58, 95% confidence interval [CI] 1.12–2.23). This association was partly mediated by body mass index (proportion mediated [PM] 4.2%, 95% CI 0.9–17.1%) and uric acid (PM 18.8%, 95% CI 1.5–77.5%). Weekly consumption of > 6 portions of dairy-based milk was associated with a non-significantly higher BC risk (HR 1.41, 95% CI 0.99–2.03), while 3–6 portions of soy milk were associated with a lower BC risk (HR 0.31, 95% CI 0.10–0.98). No significant associations were found for pure fruit juice, coffee, tea, or alcoholic drinks. MR analyses supported the detrimental effect of SSB on BC risk, with high-density lipoprotein cholesterol, polyunsaturated fatty acids to total fatty acids (TFAs) ratio, and omega-6 fatty acids to TFAs ratio mediating 2.44%, 2.73%, and 3.53% of the association, respectively.ConclusionThis study suggested that SSB consumption was a risk factor for BC and identified key anthropo-metabolic biomarkers mediating this relationship. Reducing SSB consumption and addressing associated metabolic pathways may offer effective strategies for BC prevention.",PB,Health & nutrition,False,True,True,True
3020,pub.1192495867,Democratization of Tomorrow's Plate: Synergizing Foresight Methods and Design Thinking in Designing Cellular Agriculture Innovations,"ABSTRACT  This paper presents a sustainable design framework for cellular agriculture innovations by integrating foresight methods and design thinking. Importantly, the research connected design thinking, foresight methods and sustainable innovations. The framework systematically aligns foresight methods with the design thinking process, thus enabling cellular agriculture innovators to anticipate long‐term challenges and navigate uncertainties. The strengths and limitations of either design thinking or foresight are explored thus rationalizing the need to integrate them. A key research question of the study is: How can foresight methods be systematically integrated with design thinking to enhance the sustainability of Cellular Agriculture innovations? A user‐friendly framework is developed by matching foresight methods capabilities and aims of design thinking stages. The paper discusses theoretical and practical implications of the framework while pointing direction of further research in shaping sustainable food systems.",CC,Other,False,True,True,True
3018,pub.1191484558,Computational modeling of fluid motion and mass transfer in a rocking bioreactor with application to cultivated meat production,"Rocking or wave-mixed bioreactors have emerged as a promising innovation in the production of cultivated meat due to their disposable nature, low operating costs, and scalability. However, despite these advantages, the performance of rocking bioreactors is not well characterized in view of their relatively short history in the market and the wide range of geometrical and operating parameters. In the present study we develop a rigorous computational framework for this multiphase, multi-physics system to quantitatively evaluate mixing, oxygen transfer, and shear stress within a rectangular rocking bioreactor under various operating conditions. This framework is implemented using the Basilisk open-source platform. We use a second-order finite volume Navier–Stokes solver and a volume-of-fluid interface reconstruction scheme to accurately resolve the highly nonlinear fluid motion. By solving the advection–diffusion equation for a multi-fluid system, we examine mixing time and the oxygen mass transfer coefficient ( k L a ) for different operating conditions, both of which show a strong relationship with steady streaming underlying the instantaneous laminar flow. We further highlight two critical hydrodynamic phenomena that significantly influence bioreactor performance. Firstly, we investigate the transitional regime from laminar to turbulent flow. Moreover, we identify specific operating conditions that trigger resonance within the bioreactor, enhancing mixing and oxygen transfer. We finally discuss the potential effects of shear stress and energy dissipation rate on cell survival. Our findings are expected to provide valuable insights and guidelines for designing optimized bioreactors to support the next-generation cultivated meat industry pipelines.",CM,Bioprocess design,False,True,True,True
223,pub.1189698440,"A Nationwide Survey of Italian University Students: Exploring the Influences of Sustainable Dietary Behaviors, Lifestyle, and Sociodemographic Factors on Adherence to the Mediterranean Diet","BACKGROUND/OBJECTIVES: Recent decades have seen a remarkable westernization of diets and a decline in adherence to the Mediterranean diet (MD). This study examined the eating habits of a representative sample of Italian university students to identify the determinants of adherence to the MD and the most relevant actions to improve their well-being.
METHODS: The Mediterranean Diet Quality Index for Children and Adolescents (KIDMED) and Sustainable Healthy Diet (SHED) index questionnaires were used to explore MD adherence as the primary outcome, and dietary behavior sustainability, respectively. Sociodemographic, anthropometric, and lifestyle information was also collected.
RESULTS: The final sample included 1434 subjects (18-24; 60% female). The median (IQR) KIDMED score was 6.0 (4.0-8.0) and 33% showed a high adherence to the MD. Having breakfast, eating fruit and vegetables at least once a day, consuming pasta or other grains almost daily, and using olive oil at home were among the most common positive aspects of students' diets. However, regular consumption of fish, nuts, legumes, dairy products, and a second serving of fruit and vegetables was less prevalent. Having an active lifestyle, eating more plant products, and having more sustainable dietary behaviors in terms of the SHED index, were the main determinants of a high KIDMED score. Likewise, graduate students, daily consumers of plant-based meat alternatives, and students attending university canteens daily were more likely to adopt healthier diets.
CONCLUSIONS: Future actions are crucial to create a food environment that facilitates healthy and sustainable dietary choices among young adults, such as improving the nutritional quality of processed products and regulating their promotion, as well as implementing initiatives to improve university food services and encourage the use of campus dining facilities.",PB,Consumer & market research,False,True,True,True
2369,pub.1186126117,Characterizing the Sulfated and Glucuronidated (Poly)phenol Metabolome for Dietary Biomarker Discovery,"(Poly)phenols, bioactive compounds abundant in plant-based diets, have attracted interest for their potential role in preventing chronic diseases including cardiometabolic and neurodegenerative diseases. This study investigates the global sulfatome and glucuronidated metabolome in urine samples from 100 healthy adults collected pre- and postintervention following a 3-day (poly)phenol-rich intervention consisting of flaxseeds, raspberry powder, and soy milk. Using untargeted mass spectrometric metabolomics combined with selective phase II enzymatic treatment, we detected 156 sulfated and 143 glucuronidated metabolites in urine samples. Significant changes postintervention were observed for 91 sulfates and 94 glucuronides. Receiver operating characteristic curve analysis identified a combination of six polyphenol-derived key metabolites: glucuronidated daidzein and the sulfated compounds of pyrogallol, ferulic acid, 4-methoxyphenol, enterolactone, and resorcinol, which resulted in the best combination with the highest predictive AUC of 0.97. These findings underscore the utility of these metabolites as sensitive and selective biomarkers of (poly)phenol dietary intake.",PB,Health & nutrition,False,True,True,True
2018,pub.1184365580,First detection of viral pathogens of chickpea in Germany,"Legumes play a crucial role in agriculture and serve as a valuable source of protein for human and animal consumption. However, legumes are susceptible to various viral infections, which can cause significant losses in yield and quality. Chickpea (Cicer arietinum L.) is an important food legume worldwide. While its cultivation in Germany is still in its infancy, it is expected to increase due to its numerous advantages. It is adapted to drought conditions, is an attractive additional option for crop rotations in organic farming and is gaining popularity for regionally produced food products. However, there is little knowledge about the presence and potential agronomic impact of viral pathogens in chickpea grown under German conditions. This study is the first that investigated the prevalence of legume-infecting viruses on chickpea crops grown in Germany. In 2022 and 2023, we collected sample material from symptomatic plants at three locations and analyzed it for the presence of circular (ss) DNA viruses, such as pea necrotic yellow dwarf virus (PNYDV), using a combination of rolling circle amplification (RCA) and downstream restriction fragment length pattern (RFLP) analysis. Furthermore, we conducted a reverse transcription PCR assay to detect different legume-infecting RNA viruses. In 2022 PNYDV was detected in 5 plants, all from the ‘Amorgos’ chickpea variety, located near a pea field. RNA viruses were detected in 27 plants, mostly TuYV or PEMV-1. Double and triple infections were common, with one plant exhibiting a triple infection of PNYDV, TuYV and PEMV-1. Symptoms of viral infection included leaf yellowing, dwarfism and chlorotic spots, with coinfections leading to more severe symptoms. In 2023, pea, cowpea and chickpea samples were collected from Schleibnitz/Wanzleben, Saxony-Anhalt, along with various chickpea accessions and cultivars from ZALF experimental fields, where the presence of PSbMV, PEMV, PNYDV, BYMV and TuYV was confirmed across these hosts. These findings indicate that viral pathogens pose a significant threat to chickpea production in Germany, necessitating the development of resistant cultivars and integrated management strategies.",PB,Food safety & quality,False,True,True,True
2798,pub.1193882396,Comparative Proteomic Analysis Provides Insight into the Effect of Monochromatic Light Wavelength on Metabolic Pathways Regulation of the Edible Mushroom Pleurotus ostreatus Grown in Submerged Fermentation,"Light plays an essential role in regulating the growth, development, and metabolic activities of the edible mushroom Pleurotus ostreatus. In this research, the influence of white, blue, green, yellow, and red light, and darkness, on the global protein expression of P. ostreatus LGAM 1123 grown in submerged culture was explored. The growth of the fungus was not inhibited by light in any of the conditions tested compared with the dark. However, the mycelial protein content was reduced by 10% under blue and white light. Proteomic analysis revealed distinct proteomes for each light wavelength, with red and blue light presenting the most distinctive proteome profiles. (Data are available via ProteomeXchange with identifier PXD065402.) Blue light activates pathways such as the citrate cycle (TCA cycle), glycolysis/gluconeogenesis, and amino acid biosynthesis, while red light stimulates mRNA-related pathways. GC-MS analysis of the biomass revealed differences in the amino acids, sugars, and lipids produced. The distinct regulation of proteins and bioactive compounds under different light wavelengths suggests that specific wavelengths can direct the metabolism of P. ostreatus into biochemical pathways. These strategies could be beneficial for the food industry because particular nutrients can be increased during the fermentation of edible fungi without the need for genetic engineering of the strain.",F,Bioprocess design,False,True,True,True
2810,pub.1188911530,Risk evaluation of a future B2B cell factory process producing cellular agriculture ingredients,"Cellular agriculture can help to meet the growing global demand for proteins and other food products by producing, e.g., single-cell protein (SCP) through fermentation, simultaneously enhancing sustainability and resource efficiency. However, our path toward 2040 may involve crises related to energy, water and raw material availability, contaminated production processes, logistics or increased costs. In this study, we assessed the risks of a cell factory operating in 2040, which could face challenges such as freshwater shortages, power outages, and scarcity of chemicals and other materials. The envisioned cell factory utilises various side streams as raw materials and operates in an urban area. We employed the qualitative HAZSCAN (Hazardous Scenario Analysis) method to assess the occupational, product, and environmental safety of a fully operational hypothetical business to business (B2B) cell factory producing cellular agriculture ingredients. The analysis was conducted by a working group, including experts from VTT and industrial representatives, through five focused meetings to prepare activity and process model, systematically identify hazards, and estimate their severity and probability. Risk was then classified using a tailored risk matrix. Hazards causing production interruptions, impairment to occupational health and product safety, as well as environmental safety, were identified and their risks were assessed. Future risks may arise from resource scarcity, the quality of raw materials or logistical issues related to raw materials. Risks related to utilities stem from the availability of electricity, steam, or water. Operational risks can originate from maintenance challenges, process quality control, storage and handling of materials, insufficient instructions for operators, and potential leaks into the environment. Additionally, risks may be caused by disruptions in information transfer or vandalism. The analysis emphasised the need for comprehensive safety and risk management methods that consider both process safety and environmental impacts.",F,Other,False,True,False,False
